Program,Season,Event,Event Start,Event End,Role,Hours
FTC,2023,NC FTC Salem Academy (Sun),1/28/2024, 1/28/2024,Head Referee,
FTC,2023,NC FTC Salem Academy (Sun),1/28/2024, 1/28/2024,Lead Robot Inspector,
FTC,2023,NC FTC Salem Academy (Sun),1/28/2024, 1/28/2024,Scorekeeper,
FTC,2023,Chesapeake FTC Championship,2/3/2024, 2/3/2024,Head Referee,
FTC,2023,NC FTC Dean's List Interview Only 2023-2024,2/6/2024, 2/6/2024,Dean's List Interviewer
FTC,2023,NC FTC Championship,2/24/2024, 2/24/2024,Referee,
FRC,2024,CHS District Blacksburg VA Event,3/1/2024, 3/3/2024,Head Referee,
FTC,2024,CHS-VA SWVA Kick Off,9/7/2024, 9/7/2024,Head Referee,
FTC,2024,Charlottesville VA Qualifier,11/23/2024, 11/23/2024,Head Referee
FTC,2024,Bassett VA Qualifier,1/26/2025, 1/26/2025,Head Referee
FTC,2024,Chesapeake Championship (matches canceled due to snow),2/8/2025, 2/8/2025,Field Disassembly
FTC,2024,Moorefield WV 1 Qualifier,1/25/2025, 1/25/2025,Lead Scorekeeper
FTC,2024,DCI #2 Qualifier,11/24/2024, 11/24/2024,Referee
FTC,2024,Moorefield WV 1 Qualifier,1/25/2025, 1/25/2025,Referee
FTC,2024,Glen Allen VA #2 Qualifier,12/15/2024, 12/15/2024,Head Referee
FTC,2024,Gaithersburg MD Qualifier,12/8/2024, 12/8/2024,Referee
FTC,2024,Virginia Beach VA Qualifier,1/12/2025, 1/12/2025,Head Referee
FTC,2024,Pinnacle Classical Academy,2/1/2025, 2/1/2025,Referee
FTC,2024,Pinnacle Classical Academy,2/1/2025, 2/1/2025,Lead Robot Inspector
FTC,2024,Southern Guilford High School-Sunday,2/2/2025, 2/2/2025,Referee
FTC,2024,Southern Guilford High School-Sunday,2/2/2025, 2/2/2025,Robot Inspector
FTC,2024,North Carolina Championship,2/16/2025, 2/16/2025,Referee
FTC,2024,North Carolina Championship,2/16/2025, 2/16/2025,Robot Inspector
FTC,2024,Chicago Robotics Invitational Premier Event,7/18/2025, 7/20/2025,Referee
FTC,2024,Carolinas Premier Event,7/25/2025, 7/27/2025,Head Referee
FRC,2025,CHS District Glen Allen VA Event presented by Dominion Energy,3/2/2025, 3/2/2025,Official Scorer
FRC,2025,CHS District Bethesda MD Event presented by Capital One,3/14/2025, 3/16/2025,Head Referee
FTC,2025,North East Maryland Kickoff,9/6/2025, 9/6/2025,Head Referee,
FTC,2025,FIRST Tech Challenge DECODE Preview Event,10/18/2025, 10/18/2025,Global Key Head Referee,
FRC,2025,Rumble #10,10/25/2025, 10/25/2025,Referee,
FTC,2025,"Roanoke, VA Qualifier",12/07/2025, 12/07/2025,Referee,
FTC,2025,"Baltimore, MD Qualifier I",12/13/2025, 12/13/2025,Referee,
FTC,2025,"Richmond, VA Qualifier II",12/14/2025, 12/14/2025,Head Referee,
FTC,2025,"Powhatan, VA Qualifier I",1/10/2026, 1/10/2026,Head Referee,
FTC,2025,"Powhatan, VA Qualifier II",1/11/2026, 1/11/2026,Head Referee,
FTC,2025,"Norfolk, VA Qualifier",1/18/2026, 1/18/2026,Head Referee,
FTC,2025,Chesapeake Championship,2/07/2026, 2/08/2026,Head Referee,
FTC,2025,United States Governors Cup,2/20/2026, 2/21/2026,Head Referee,
FRC,2026,FCH District Blacksburg VA Event,3/27/2026, 3/29/2026,Head Referee,
FTC,2025,FIRST Championship,4/28/2026, 5/2/2026,Global Key Head Referee,
FTC,2025,Romania Championship,3/13/2026,3/15/2026,Global Key Head Referee,
FTC,2025,New York - NYC Championship,3/8/2026,3/8/2026,Referee,
